,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,ExtraTreesEntr_BAG_L1,0.9992,0.999275,accuracy,0.21477055549621582,3.925041437149048,6.500767469406128,0.21477055549621582,3.925041437149048,6.500767469406128,1,True,9
1,ExtraTreesGini_BAG_L1,0.9992,0.9992375,accuracy,0.22847890853881836,3.947432518005371,6.920860528945923,0.22847890853881836,3.947432518005371,6.920860528945923,1,True,8
2,XGBoost_BAG_L1,0.9992,0.9993,accuracy,0.80666184425354,0.5383815765380859,8.748227596282959,0.80666184425354,0.5383815765380859,8.748227596282959,1,True,11
3,CatBoost_BAG_L1,0.99915,0.9993125,accuracy,0.08797907829284668,0.1646413803100586,17.4211745262146,0.08797907829284668,0.1646413803100586,17.4211745262146,1,True,7
4,WeightedEnsemble_L2,0.99915,0.9993125,accuracy,0.08797907829284668,0.16865324974060059,20.023698806762695,0.0,0.004011869430541992,2.6025242805480957,2,True,13
5,RandomForestEntr_BAG_L1,0.99915,0.99925,accuracy,0.1638190746307373,3.4944629669189453,52.69130539894104,0.1638190746307373,3.4944629669189453,52.69130539894104,1,True,6
6,RandomForestGini_BAG_L1,0.99915,0.9992625,accuracy,0.2074756622314453,3.716618537902832,83.14882731437683,0.2074756622314453,3.716618537902832,83.14882731437683,1,True,5
7,NeuralNetFastAI_BAG_L1,0.99915,0.9991875,accuracy,4.072442293167114,2.273956298828125,91.8974883556366,4.072442293167114,2.273956298828125,91.8974883556366,1,True,10
8,LightGBMXT_BAG_L1,0.9991,0.9988375,accuracy,0.37052369117736816,0.31542158126831055,9.08175778388977,0.37052369117736816,0.31542158126831055,9.08175778388977,1,True,3
9,LightGBM_BAG_L1,0.99905,0.9992,accuracy,0.14820599555969238,0.21453523635864258,7.198152303695679,0.14820599555969238,0.21453523635864258,7.198152303695679,1,True,4
10,NeuralNetTorch_BAG_L1,0.99905,0.9992125,accuracy,1.849409818649292,1.7250769138336182,34.35009455680847,1.849409818649292,1.7250769138336182,34.35009455680847,1,True,12
11,KNeighborsDist_BAG_L1,0.99705,0.997325,accuracy,4.085382699966431,21.301860094070435,0.42023491859436035,4.085382699966431,21.301860094070435,0.42023491859436035,1,True,2
12,KNeighborsUnif_BAG_L1,0.99695,0.9971875,accuracy,4.4099743366241455,21.97842001914978,0.35079431533813477,4.4099743366241455,21.97842001914978,0.35079431533813477,1,True,1
